"Programa";"Cod_Curso";"Cod_semestre";"Semestre";"Nom_Curso";"Cod_Jornada";"JORNADA";"Grupo";"No_Estud";"Prom_Nota";"Habilitan";"PierdenH";"Pierden_Total"
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190622;N6;"SEXTO SEMESTRE";"ANALISIS NUMÉRICO";S001;DIURNO;A;12;"4,7";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190623;N6;"SEXTO SEMESTRE";"ARQUITECTURA DE SISTEMAS OPERATIVOS";S001;DIURNO;A;9;"4,8";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190624;N6;"SEXTO SEMESTRE";"BASE DE DATOS AVANZADAS";S001;DIURNO;A;15;"4,3";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190625;N6;"SEXTO SEMESTRE";"TEORIA DE LA COMPUTACION";S001;DIURNO;A;20;"4,3";0;0;1
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190626;N6;"SEXTO SEMESTRE";"DESARROLLO DE APLICACIONES MÓVILES";S001;DIURNO;A;14;"4,5";0;0;1
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190627;N6;"SEXTO SEMESTRE";"CALIDAD DEL SOFTWARE  I";S001;DIURNO;A;15;"4,2";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190728;N7;"SEPTIMO SEMESTRE";"MODELADO PARA LA COMPUTACIÓN";S001;DIURNO;A;10;"4,3";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190729;N7;"SEPTIMO SEMESTRE";"REDES DE COMPUTADORES";S001;DIURNO;A;10;"4,4";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190730;N7;"SEPTIMO SEMESTRE";"SEGURIDAD INFORMATICA";S001;DIURNO;A;8;4;0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190731;N7;"SEPTIMO SEMESTRE";"ARQUITECTURA DE SOFTWARE";S001;DIURNO;A;5;"4,4";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190732;N7;"SEPTIMO SEMESTRE";"CALIDAD DE SOFTWARE II";S001;DIURNO;A;3;"4,6";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190833;N8;"OCTAVO SEMESTRE";"GESTIÓN DE REDES";S001;DIURNO;A;1;"4,6";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190834;N8;"OCTAVO SEMESTRE";"SISTEMA DE INFORMACIÓN EMPRESARIAL";S001;DIURNO;A;3;"4,5";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190835;N8;"OCTAVO SEMESTRE";"ELECTIVA I (Optativa)";S001;DIURNO;A;4;"4,1";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190836;N8;"OCTAVO SEMESTRE";"ELECTIVA III (Especializada)";S001;DIURNO;A;3;"4,4";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190837;N8;"OCTAVO SEMESTRE";"ELECTIVA V (Especizalizada)";S001;DIURNO;A;4;"4,3";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190938;N9;"NOVENO SEMESTRE";HCI;S001;DIURNO;A;4;"4,6";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190939;N9;"NOVENO SEMESTRE";"PRACTICA PROFESIONAL";S001;DIURNO;A;2;"4,8";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190940;N9;"NOVENO SEMESTRE";"GESTIÓN TECNOLÓGICA Y FINANCIERA";S001;DIURNO;A;4;"3,3";0;0;1
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190941;N9;"NOVENO SEMESTRE";"ELECTIVA II (Optativa)";S001;DIURNO;A;1;"4,9";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190942;N9;"NOVENO SEMESTRE";"ELECTIVA IV (Especializada)";S001;DIURNO;A;1;"3,7";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12190943;N9;"NOVENO SEMESTRE";"ELECTIVA VI (Especializada)";S001;DIURNO;A;2;"4,2";0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12191102;O7;"REQUISITO DE GRADO ";"96 HORAS SEMINARIOS DE ACTUALIZACION";S001;DIURNO;A;9;5;0;0;0
"INGENIERIA DE SOFTWARE Y COMPUTACION";12191104;O7;"REQUISITO DE GRADO ";"CERT ACTIVIDAD DEP FORMATIVO";S001;DIURNO;A;5;5;0;0;0
